trace_id,span_id,service,operation,source_field,value
fd8249d0cd49daa1feb705a09f585d6a,86ec87e19bff8758,ts-gateway-service,GET,http.url,12347
fd8249d0cd49daa1feb705a09f585d6a,86ec87e19bff8758,ts-gateway-service,GET,http.url,4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f
fd8249d0cd49daa1feb705a09f585d6a,c696c6b3acd8ff83,ts-gateway-service,GET /*,http.target,4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f
99cb4fce6351b64e8f61dd3c09f47270,09b42180695137da,ts-gateway-service,GET,http.url,12342
50f75504fa9d397f590c4939786036e8,3c12a84a84eb015b,ts-gateway-service,POST,http.url,12031
15fb220be3101de5fd5462f205174176,aa4c7312ff5abc38,ts-admin-basic-info-service,POST,http.url,12345
15fb220be3101de5fd5462f205174176,452261a125f8fe1f,ts-gateway-service,POST,http.url,18767
c9b2d83652031fae0e2fc4d35a79a520,b911451d0042ec9d,ts-gateway-service,GET,http.url,18767
c9b2d83652031fae0e2fc4d35a79a520,e25af2e1e0fb4f2d,ts-admin-basic-info-service,GET,http.url,14567
3c61f3143b30168da204668005f41125,2fddc4df8363cad2,ts-gateway-service,GET,http.url,18767
3c61f3143b30168da204668005f41125,6602c1aa2df3cf21,ts-admin-basic-info-service,GET,http.url,16579
24cea7688cfa72ff1e801c81d7e1cb2d,dd9a15b4a2957aa4,ts-admin-route-service,POST,http.url,12345
24cea7688cfa72ff1e801c81d7e1cb2d,1a4de84774b3d634,ts-admin-route-service,POST,http.url,11178
24cea7688cfa72ff1e801c81d7e1cb2d,0a5b4f43a2dfac2e,ts-gateway-service,POST,http.url,16113
7b489e16536f191945c648789b28c592,6c7b2d40e6215a09,ts-gateway-service,GET,http.url,18767
7b489e16536f191945c648789b28c592,11b4453772dfcb1e,ts-admin-basic-info-service,GET,http.url,12345
c14197947370a19b8c68d0bdc67abbde,c4f27ff740c3d423,ts-gateway-service,POST,http.url,12032
00713333903fdfba3256f9b833198be1,5af1d58ac6ff7e1b,ts-admin-basic-info-service,GET,http.url,14567
00713333903fdfba3256f9b833198be1,f27488ac56f07ace,ts-gateway-service,GET,http.url,18767
