scenario,test_method,step_idx,http_method,path,parameter,value,realistic,source
Flow_Scenario_745,test_positive_flow_S745_v2,2,POST,/api/v1/travelservice/trips/left,startPlace,test838,false,unknown
Flow_Scenario_745,test_positive_flow_S745_v13,2,POST,/api/v1/travelservice/trips/left,startPlace,test838,false,unknown
Flow_Scenario_745,test_positive_flow_S745_v17,2,POST,/api/v1/travelservice/trips/left,startPlace,sta4603,false,unknown
Flow_Scenario_870,test_positive_flow_S870_v2,2,POST,/api/v1/adminorderservice/adminorder,contactsName,test304,false,unknown
Flow_Scenario_870,test_positive_flow_S870_v7,2,POST,/api/v1/adminorderservice/adminorder,contactsName,cont8766,false,unknown
Flow_Scenario_870,test_positive_flow_S870_v9,2,POST,/api/v1/adminorderservice/adminorder,contactsName,test912,false,unknown
Flow_Scenario_870,test_positive_flow_S870_v10,2,POST,/api/v1/adminorderservice/adminorder,contactsName,cont8766,false,unknown
Flow_Scenario_870,test_positive_flow_S870_v11,2,POST,/api/v1/adminorderservice/adminorder,contactsName,cont8766,false,unknown
Flow_Scenario_870,test_positive_flow_S870_v14,2,POST,/api/v1/adminorderservice/adminorder,contactsName,test304,false,unknown
Flow_Scenario_870,test_positive_flow_S870_v17,2,POST,/api/v1/adminorderservice/adminorder,contactsName,cont8766,false,unknown
Flow_Scenario_870,test_positive_flow_S870_v18,2,POST,/api/v1/adminorderservice/adminorder,contactsName,test912,false,unknown
