"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 08 23:24:22 CDT 2026","Fri May 08 23:24:32 CDT 2026","9345","ts-order-other-service","Flow_Scenario_475 | POST /api/v1/orderOtherService/orderOther/refresh","[Valid] v8","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_475","test_positive_flow_S475_v8","test_positive_flow_S475_v8","Microservice test scenario with 1 steps."
"passed","Fri May 08 23:21:24 CDT 2026","Fri May 08 23:21:29 CDT 2026","5043","ts-order-other-service","Flow_Scenario_475 | POST /api/v1/orderOtherService/orderOther/refresh","[Fault: POST__api_v1_orderOtherService_orderOther_refresh] TYPE_MISMATCH (v154)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_475","test_negative_flow_S475_v154_fault_Root1_TYPE_MISMATCH","test_negative_flow_S475_v154_fault_Root1_TYPE_MISMATCH","Microservice test scenario with 1 steps."
"passed","Sat May 09 01:35:53 CDT 2026","Sat May 09 01:36:07 CDT 2026","13506","ts-admin-basic-info-service","Flow_Scenario_3 | POST /api/v1/adminbasicservice/adminbasic/trains","[Fault: POST__api_v1_adminbasicservice_adminbasic_trains] SEMANTIC_MISMATCH (v139)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_3","test_negative_flow_S3_v139_fault_Root1_SEMANTIC_MISMATCH","test_negative_flow_S3_v139_fault_Root1_SEMANTIC_MISMATCH","Microservice test scenario with 1 steps."
"passed","Sat May 09 01:09:48 CDT 2026","Sat May 09 01:10:01 CDT 2026","13812","ts-consign-service","Flow_Scenario_894 | GET /api/v1/consignservice/consigns/order/{id}","[Fault: GET__api_v1_consignservice_consigns_order__id_] TYPE_MISMATCH (v48)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_894","test_negative_flow_S894_v48_fault_Root1_TYPE_MISMATCH","test_negative_flow_S894_v48_fault_Root1_TYPE_MISMATCH","Microservice test scenario with 1 steps."
"passed","Sat May 09 00:55:28 CDT 2026","Sat May 09 00:55:40 CDT 2026","12474","ts-execute-service","Flow_Scenario_420 | GET /api/v1/executeservice/execute/execute/{orderId}","[Fault: GET__api_v1_executeservice_execute_execute__orderId_] SEMANTIC_MISMATCH (v54)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_420","test_negative_flow_S420_v54_fault_Root1_SEMANTIC_MISMATCH","test_negative_flow_S420_v54_fault_Root1_SEMANTIC_MISMATCH","Microservice test scenario with 1 steps."
"passed","Sat May 09 00:07:42 CDT 2026","Sat May 09 00:07:55 CDT 2026","12973","ts-travel-plan-service","Flow_Scenario_276 | POST /api/v1/travelplanservice/travelPlan/cheapest","[Fault: POST__api_v1_travelplanservice_travelPlan_cheapest] SEMANTIC_MISMATCH (v81)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_276","test_negative_flow_S276_v81_fault_Root1_SEMANTIC_MISMATCH","test_negative_flow_S276_v81_fault_Root1_SEMANTIC_MISMATCH","Microservice test scenario with 1 steps."
"passed","Sat May 09 02:01:15 CDT 2026","Sat May 09 02:01:29 CDT 2026","13843","ts-admin-basic-info-service","Flow_Scenario_3 | POST /api/v1/adminbasicservice/adminbasic/trains","[Fault: POST__api_v1_adminbasicservice_adminbasic_trains] OVERFLOW (v114)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_3","test_negative_flow_S3_v114_fault_Root1_OVERFLOW","test_negative_flow_S3_v114_fault_Root1_OVERFLOW","Microservice test scenario with 1 steps."
"passed","Sat May 09 00:03:03 CDT 2026","Sat May 09 00:03:13 CDT 2026","9428","ts-travel-plan-service","Flow_Scenario_276 | POST /api/v1/travelplanservice/travelPlan/cheapest","[Fault: POST__api_v1_travelplanservice_travelPlan_cheapest] SEMANTIC_MISMATCH (v36)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_276","test_negative_flow_S276_v36_fault_Root1_SEMANTIC_MISMATCH","test_negative_flow_S276_v36_fault_Root1_SEMANTIC_MISMATCH","Microservice test scenario with 1 steps."
"passed","Sat May 09 00:38:20 CDT 2026","Sat May 09 00:38:26 CDT 2026","5087","ts-travel2-service","Flow_Scenario_749 | POST /api/v1/travel2service/trips/left","[Fault: POST__api_v1_travel2service_trips_left] SPECIAL_CHARACTERS (v110)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_749","test_negative_flow_S749_v110_fault_Root1_SPECIAL_CHARACTERS","test_negative_flow_S749_v110_fault_Root1_SPECIAL_CHARACTERS","Microservice test scenario with 1 steps."
"failed","Sat May 09 02:09:55 CDT 2026","Sat May 09 02:10:07 CDT 2026","12536","ts-admin-basic-info-service","Flow_Scenario_3 | POST /api/v1/adminbasicservice/adminbasic/trains","[Valid] v18","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_3","test_positive_flow_S3_v18","test_positive_flow_S3_v18","Microservice test scenario with 1 steps."
"failed","Sat May 09 02:16:55 CDT 2026","Sat May 09 02:17:08 CDT 2026","12962","ts-admin-basic-info-service","Flow_Scenario_178 | PUT /api/v1/adminbasicservice/adminbasic/trains","[Valid] v29","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_178","test_positive_flow_S178_v29","test_positive_flow_S178_v29","Microservice test scenario with 1 steps."
"passed","Sat May 09 01:18:56 CDT 2026","Sat May 09 01:19:10 CDT 2026","13278","ts-consign-service","Flow_Scenario_894 | GET /api/v1/consignservice/consigns/order/{id}","[Fault: GET__api_v1_consignservice_consigns_order__id_] SPECIAL_CHARACTERS (v62)","trainticket_twostage_test.TrainTicketTwoStageTest_1778271990929.Flow_Scenario_894","test_negative_flow_S894_v62_fault_Root1_SPECIAL_CHARACTERS","test_negative_flow_S894_v62_fault_Root1_SPECIAL_CHARACTERS","Microservice test scenario with 1 steps."
